nohup: ignoring input
time=2025-09-14T18:45:49.180-06:00 level=INFO source=routes.go:1331 msg="server config" env="map[CUDA_VISIBLE_DEVICES:0 GPU_DEVICE_ORDINAL: HIP_VISIBLE_DEVICES: HSA_OVERRIDE_GFX_VERSION: HTTPS_PROXY: HTTP_PROXY: NO_PROXY: OLLAMA_CONTEXT_LENGTH:4096 OLLAMA_DEBUG:INFO OLLAMA_FLASH_ATTENTION:false OLLAMA_GPU_OVERHEAD:0 OLLAMA_HOST:http://0.0.0.0:9999 OLLAMA_INTEL_GPU:false OLLAMA_KEEP_ALIVE:5m0s OLLAMA_KV_CACHE_TYPE: OLLAMA_LLM_LIBRARY: OLLAMA_LOAD_TIMEOUT:5m0s OLLAMA_MAX_LOADED_MODELS:1 OLLAMA_MAX_QUEUE:512 OLLAMA_MODELS:/scratch/alpine/niho8409/ollama/models OLLAMA_MULTIUSER_CACHE:false OLLAMA_NEW_ENGINE:false OLLAMA_NEW_ESTIMATES:false OLLAMA_NOHISTORY:false OLLAMA_NOPRUNE:false OLLAMA_NUM_PARALLEL:1 OLLAMA_ORIGINS:[http://localhost https://localhost http://localhost:* https://localhost:* http://127.0.0.1 https://127.0.0.1 http://127.0.0.1:* https://127.0.0.1:* http://0.0.0.0 https://0.0.0.0 http://0.0.0.0:* https://0.0.0.0:* app://* file://* tauri://* vscode-webview://* vscode-file://*] OLLAMA_SCHED_SPREAD:false ROCR_VISIBLE_DEVICES: http_proxy: https_proxy: no_proxy:]"
time=2025-09-14T18:45:49.207-06:00 level=INFO source=images.go:477 msg="total blobs: 9"
time=2025-09-14T18:45:49.208-06:00 level=INFO source=images.go:484 msg="total unused blobs removed: 0"
time=2025-09-14T18:45:49.208-06:00 level=INFO source=routes.go:1384 msg="Listening on [::]:9999 (version 0.11.10)"
time=2025-09-14T18:45:49.208-06:00 level=INFO source=gpu.go:217 msg="looking for compatible GPUs"
time=2025-09-14T18:45:49.659-06:00 level=INFO source=types.go:131 msg="inference compute" id=GPU-019a1c87-a4aa-f269-7894-7d129858442b library=cuda variant=v12 compute=8.0 driver=12.4 name="NVIDIA A100-PCIE-40GB" total="39.4 GiB" available="39.0 GiB"
[GIN] 2025/09/14 - 18:52:42 | 404 |    1.480235ms |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     785.502µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     748.183µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     685.135µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     634.931µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     737.753µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     669.606µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     614.873µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     749.435µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     595.396µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     588.072µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     749.415µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     690.294µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     600.176µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     859.242µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     692.158µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |      634.89µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     1.01361ms |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     585.598µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     605.666µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     822.512µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     596.108µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     595.687µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     761.979µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     664.536µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     635.671µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     850.535µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     720.391µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     807.494µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |      751.61µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     634.509µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     655.699µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     743.174µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     635.833µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     597.771µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     830.067µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     719.339µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     648.035µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     784.531µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     689.794µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     721.553µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     637.275µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     699.271µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     609.072µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     767.499µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     755.526µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     636.092µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     841.017µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     820.759µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     749.185µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     794.429µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     829.636µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     719.028µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     798.117µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     856.647µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     620.312µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     605.105µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     864.682µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     655.389µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     808.957µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |      725.29µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     643.056µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     558.648µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     801.893µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     663.875µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     640.842µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     827.943µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |      778.54µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     642.184µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |       821.2µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     585.097µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     536.496µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     735.098µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     734.116µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     597.761µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     748.784µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     621.636µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     542.607µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     776.025µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     626.755µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     761.929µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     646.031µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |      661.49µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |       767.9µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     580.148µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     643.116µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     818.254µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |      634.28µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     605.065µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     756.688µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     607.568µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     594.775µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     763.382µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     671.369µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     616.896µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |      816.02µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     626.685µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     822.522µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     837.059µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     767.429µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     565.501µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     852.609µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     694.492µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     611.637µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     757.551µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     590.597µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |      613.12µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     798.217µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     659.637µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     635.331µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |      767.83µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     702.588µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |      794.28µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     764.945µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     706.635µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |      602.57µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     718.708µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     650.089µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     777.698µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     853.179µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     676.679µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     609.332µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     869.671µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     804.939µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     778.189µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     721.382µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     681.277µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     601.869µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     879.479µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |      741.67µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     623.329µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     835.857µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     650.379µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     648.396µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     804.539µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     627.697µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     546.435µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     654.377µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     591.509µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     813.966µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     651.742µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     613.851µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     854.302µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |      645.36µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     794.039µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |    1.555877ms |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     973.265µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     967.083µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     776.596µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     605.705µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     592.641µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     707.757µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     650.329µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     670.928µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     753.353µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     583.013µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     614.562µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     775.384µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     669.705µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     610.004µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     774.081µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |      799.78µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     626.235µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     840.756µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     704.391µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     722.024µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     840.245µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     619.572µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     593.833µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     812.303µs |    10.225.8.163 | POST     "/api/chat"
